
Box(-inf, inf, (111,), float64)
global_step=14053, return_per_episode=-61.12157440185547
global_step=14071, return_per_episode=-58.00117874145508
global_step=14100, return_per_episode=-68.5177993774414
global_step=14131, return_per_episode=-89.40463256835938
global_step=14180, return_per_episode=-97.82977294921875
global_step=14230, return_per_episode=-115.97992706298828
SPS: 399
global_step=14347, return_per_episode=-281.6970520019531
global_step=14383, return_per_episode=-95.80943298339844
global_step=14396, return_per_episode=-28.359355926513672
global_step=14423, return_per_episode=-49.401058197021484
global_step=14441, return_per_episode=-29.847185134887695
global_step=14481, return_per_episode=-104.22369384765625
global_step=14495, return_per_episode=-37.741783142089844
global_step=14523, return_per_episode=-72.54950714111328
global_step=14560, return_per_episode=-77.1459732055664
global_step=14581, return_per_episode=-90.40951538085938
global_step=15581, return_per_episode=-2234.73681640625
global_step=15622, return_per_episode=-95.59324645996094
global_step=15655, return_per_episode=-75.86911010742188
global_step=15677, return_per_episode=-57.215267181396484
global_step=15689, return_per_episode=-38.86836624145508
global_step=15852, return_per_episode=-379.6227111816406
global_step=15863, return_per_episode=-16.922826766967773
global_step=15902, return_per_episode=-68.2002944946289
global_step=15913, return_per_episode=-18.008211135864258
global_step=16015, return_per_episode=-284.7294006347656
global_step=16174, return_per_episode=-299.0528564453125
global_step=16233, return_per_episode=-163.3520965576172
global_step=16249, return_per_episode=-32.570926666259766
global_step=16355, return_per_episode=-202.2884063720703
global_step=16375, return_per_episode=-30.95600128173828
SPS: 406
global_step=16456, return_per_episode=-223.95066833496094
global_step=16499, return_per_episode=-73.4306640625
global_step=16605, return_per_episode=-222.30661010742188
global_step=16632, return_per_episode=-72.1098861694336
global_step=16689, return_per_episode=-97.70814514160156
global_step=16758, return_per_episode=-140.65469360351562
global_step=16811, return_per_episode=-143.19808959960938
global_step=16823, return_per_episode=-23.82500457763672
global_step=16844, return_per_episode=-40.34298324584961
global_step=16919, return_per_episode=-116.11286163330078
global_step=16934, return_per_episode=-21.417890548706055
global_step=16947, return_per_episode=-25.795330047607422
global_step=16955, return_per_episode=-22.00182342529297
global_step=16995, return_per_episode=-84.51673889160156
global_step=17015, return_per_episode=-41.21531677246094
global_step=17143, return_per_episode=-339.0546875
global_step=17199, return_per_episode=-88.30138397216797
global_step=18199, return_per_episode=-2040.47314453125
global_step=18231, return_per_episode=-39.25093460083008
global_step=18277, return_per_episode=-86.64654541015625
global_step=18420, return_per_episode=-342.2757873535156
SPS: 415
global_step=18437, return_per_episode=-56.189788818359375
global_step=18484, return_per_episode=-102.68707275390625
global_step=18538, return_per_episode=-118.60763549804688
global_step=18557, return_per_episode=-50.2475471496582
global_step=18586, return_per_episode=-63.84138107299805
global_step=18708, return_per_episode=-175.12380981445312
global_step=18720, return_per_episode=-35.14067077636719
global_step=18740, return_per_episode=-26.744037628173828
global_step=18751, return_per_episode=-28.006601333618164
global_step=18854, return_per_episode=-229.32421875
global_step=18899, return_per_episode=-97.82090759277344
global_step=18984, return_per_episode=-140.99240112304688
global_step=19023, return_per_episode=-89.2461166381836
global_step=19079, return_per_episode=-122.2163314819336
global_step=19094, return_per_episode=-6.0890960693359375
global_step=19120, return_per_episode=-65.50930786132812
global_step=19156, return_per_episode=-77.39289093017578
global_step=19245, return_per_episode=-229.41082763671875
global_step=19464, return_per_episode=-404.20074462890625
global_step=19643, return_per_episode=-363.26251220703125
global_step=19670, return_per_episode=-38.696258544921875
global_step=19691, return_per_episode=-52.436798095703125
global_step=19739, return_per_episode=-89.91104125976562
SPS: 423
global_step=20739, return_per_episode=-1946.9764404296875
global_step=20765, return_per_episode=-75.71830749511719
global_step=20830, return_per_episode=-139.49874877929688
global_step=20841, return_per_episode=-27.178089141845703
global_step=20887, return_per_episode=-55.71158218383789
global_step=20933, return_per_episode=-83.697509765625
global_step=21034, return_per_episode=-117.6633529663086
global_step=21065, return_per_episode=-57.45806121826172
global_step=21115, return_per_episode=-94.06868743896484
global_step=21131, return_per_episode=-46.514041900634766
global_step=21254, return_per_episode=-211.2628631591797
global_step=21303, return_per_episode=-87.29024505615234
global_step=21344, return_per_episode=-92.85070037841797
global_step=21405, return_per_episode=-133.4539794921875
global_step=21443, return_per_episode=-59.8233757019043
global_step=21462, return_per_episode=-40.94361877441406
global_step=21494, return_per_episode=-78.01435852050781
global_step=21515, return_per_episode=-13.946417808532715
global_step=21647, return_per_episode=-209.91441345214844
global_step=21672, return_per_episode=-55.94749069213867
global_step=21698, return_per_episode=-76.31785583496094
global_step=21709, return_per_episode=-19.66681480407715
SPS: 420
global_step=22709, return_per_episode=-1761.7974853515625
global_step=22954, return_per_episode=-429.05828857421875
global_step=22986, return_per_episode=-42.161582946777344
global_step=23047, return_per_episode=-97.54500579833984
global_step=23090, return_per_episode=-121.57406616210938
global_step=23106, return_per_episode=-19.323801040649414
global_step=23131, return_per_episode=-51.30760955810547
global_step=23360, return_per_episode=-440.3188781738281
global_step=23377, return_per_episode=-54.2142333984375
global_step=23488, return_per_episode=-218.84373474121094
global_step=23546, return_per_episode=-98.85905456542969
global_step=23563, return_per_episode=-28.9820556640625
global_step=23642, return_per_episode=-104.45955657958984
global_step=23728, return_per_episode=-195.23936462402344
global_step=23902, return_per_episode=-285.1026306152344
global_step=23961, return_per_episode=-83.15203857421875
