
Box(-inf, inf, (111,), float64)
global_step=19317, return_per_episode=-137.66888427734375
global_step=19400, return_per_episode=-46.7403450012207
global_step=20400, return_per_episode=-947.8232421875
SPS: 215
global_step=21400, return_per_episode=-1022.2933959960938
global_step=21460, return_per_episode=-57.490013122558594
global_step=21563, return_per_episode=-127.95428466796875
global_step=21583, return_per_episode=-28.920856475830078
global_step=21624, return_per_episode=-60.095909118652344
global_step=21669, return_per_episode=-52.84029769897461
global_step=21718, return_per_episode=-56.701385498046875
global_step=21757, return_per_episode=-40.842010498046875
global_step=21790, return_per_episode=-39.14712905883789
global_step=21802, return_per_episode=-19.376264572143555
global_step=21832, return_per_episode=-58.91598129272461
global_step=21914, return_per_episode=-49.42240524291992
global_step=21960, return_per_episode=-37.37866973876953
SPS: 222
global_step=22960, return_per_episode=-940.8955078125
global_step=23015, return_per_episode=-51.466312408447266
global_step=23042, return_per_episode=-31.4840087890625
global_step=23090, return_per_episode=-19.6872501373291
global_step=23134, return_per_episode=-50.59946060180664
global_step=23272, return_per_episode=-127.88101959228516
global_step=23309, return_per_episode=-33.58815383911133
global_step=23317, return_per_episode=-3.657329559326172
global_step=23340, return_per_episode=-27.51409912109375
global_step=23398, return_per_episode=-63.70528030395508
global_step=23454, return_per_episode=-86.91002655029297
global_step=23531, return_per_episode=-63.38462829589844
global_step=23546, return_per_episode=-12.272491455078125
global_step=23572, return_per_episode=-20.840572357177734
global_step=23678, return_per_episode=-131.50732421875
global_step=23725, return_per_episode=-56.3055534362793
global_step=23766, return_per_episode=-51.89612579345703
global_step=23843, return_per_episode=-88.02637481689453
global_step=23893, return_per_episode=-22.858169555664062
global_step=23947, return_per_episode=-40.42839813232422
global_step=23959, return_per_episode=-10.779589653015137
global_step=24020, return_per_episode=-64.5665054321289
global_step=24049, return_per_episode=-38.02689743041992
global_step=24072, return_per_episode=-35.482398986816406
global_step=24087, return_per_episode=8.457907676696777
global_step=24127, return_per_episode=-72.66329956054688
global_step=24173, return_per_episode=-29.067989349365234
global_step=24204, return_per_episode=-47.45969772338867
global_step=24266, return_per_episode=-17.957605361938477
global_step=24318, return_per_episode=-45.48057174682617
global_step=24361, return_per_episode=-43.88896179199219
SPS: 227
global_step=25361, return_per_episode=-939.8004760742188
global_step=25386, return_per_episode=-39.52920150756836
global_step=25441, return_per_episode=-43.98805236816406
global_step=25526, return_per_episode=-87.3126449584961
global_step=25620, return_per_episode=-138.18218994140625
global_step=25637, return_per_episode=-20.000471115112305
SPS: 232
global_step=26637, return_per_episode=-946.8473510742188
global_step=26650, return_per_episode=-12.523473739624023
global_step=26709, return_per_episode=-46.487525939941406
global_step=26767, return_per_episode=-60.751075744628906
global_step=27767, return_per_episode=-890.8101806640625
global_step=27783, return_per_episode=-29.197465896606445
SPS: 238
global_step=28783, return_per_episode=-834.9077758789062
global_step=28793, return_per_episode=-3.366098403930664
global_step=28876, return_per_episode=-24.397829055786133
global_step=28967, return_per_episode=-43.877281188964844
global_step=29271, return_per_episode=-302.3020935058594
global_step=29306, return_per_episode=6.879051685333252
global_step=29323, return_per_episode=-15.760546684265137
global_step=29353, return_per_episode=-16.098052978515625
global_step=29369, return_per_episode=-8.209125518798828
global_step=29384, return_per_episode=8.578741073608398
global_step=29423, return_per_episode=-8.406496047973633
global_step=29562, return_per_episode=-179.76953125
global_step=29577, return_per_episode=-11.146998405456543
global_step=29623, return_per_episode=-68.75029754638672
global_step=29656, return_per_episode=-56.0393180847168
global_step=29689, return_per_episode=-10.892416000366211
global_step=29725, return_per_episode=-45.74088668823242
global_step=29743, return_per_episode=-17.502050399780273
global_step=29884, return_per_episode=-170.81109619140625
global_step=29900, return_per_episode=-15.631617546081543
global_step=29971, return_per_episode=-104.14789581298828
global_step=30011, return_per_episode=-61.593666076660156
global_step=30111, return_per_episode=-61.806968688964844
global_step=30123, return_per_episode=-21.11208152770996
global_step=30192, return_per_episode=-56.157257080078125
global_step=30227, return_per_episode=-61.43495178222656
global_step=30253, return_per_episode=-28.775989532470703
global_step=30373, return_per_episode=-176.17471313476562
global_step=30406, return_per_episode=-31.864152908325195
global_step=30418, return_per_episode=-19.503093719482422
global_step=30473, return_per_episode=-60.840084075927734
global_step=30583, return_per_episode=-77.404052734375
global_step=30657, return_per_episode=-82.97905731201172
global_step=30681, return_per_episode=-12.038908004760742
SPS: 236
global_step=30767, return_per_episode=-38.191680908203125
global_step=30796, return_per_episode=-63.16822814941406
global_step=30826, return_per_episode=-37.96485137939453
global_step=30845, return_per_episode=-36.579933166503906
global_step=30868, return_per_episode=-33.46184158325195
global_step=30974, return_per_episode=-127.06036376953125
global_step=30989, return_per_episode=-20.94044303894043
global_step=31001, return_per_episode=-14.39573860168457
global_step=31030, return_per_episode=-11.786849021911621
global_step=31118, return_per_episode=-47.510677337646484
global_step=31190, return_per_episode=-87.03536987304688
global_step=31205, return_per_episode=-19.938535690307617
global_step=31265, return_per_episode=-56.52315139770508
