
Box(-inf, inf, (111,), float64)
global_step=8004, return_per_episode=158.41305541992188
global_step=8026, return_per_episode=48.8121452331543
global_step=8161, return_per_episode=513.090087890625
Time Taken: 286
global_step=8306, return_per_episode=490.4750671386719
global_step=8420, return_per_episode=333.96160888671875
global_step=8514, return_per_episode=339.9461975097656
global_step=8584, return_per_episode=253.84698486328125
global_step=8616, return_per_episode=83.60260009765625
global_step=8624, return_per_episode=13.940418243408203
global_step=8709, return_per_episode=269.6375732421875
global_step=8777, return_per_episode=222.70547485351562
global_step=8892, return_per_episode=429.15509033203125
global_step=8984, return_per_episode=277.9955139160156
global_step=9079, return_per_episode=312.22491455078125
global_step=9235, return_per_episode=565.356689453125
global_step=9410, return_per_episode=633.58935546875
global_step=9494, return_per_episode=200.70811462402344
global_step=9534, return_per_episode=126.71530151367188
global_step=9572, return_per_episode=142.72584533691406
global_step=9596, return_per_episode=69.06636810302734
global_step=9672, return_per_episode=242.9856414794922
global_step=9685, return_per_episode=40.749916076660156
global_step=9692, return_per_episode=23.160470962524414
global_step=9770, return_per_episode=256.5659484863281
global_step=9810, return_per_episode=145.42431640625
global_step=9861, return_per_episode=151.98733520507812
global_step=9893, return_per_episode=80.68975830078125
global_step=9899, return_per_episode=17.237104415893555
global_step=9970, return_per_episode=185.59010314941406
global_step=10078, return_per_episode=232.85464477539062
global_step=10143, return_per_episode=171.01083374023438
global_step=10175, return_per_episode=89.883544921875
Time Taken: 305
global_step=10344, return_per_episode=438.89599609375
global_step=10411, return_per_episode=225.9017791748047
global_step=10538, return_per_episode=373.1544189453125
global_step=10616, return_per_episode=137.9548797607422
global_step=10639, return_per_episode=61.4984245300293
global_step=10649, return_per_episode=24.03526496887207
global_step=10708, return_per_episode=142.8505401611328
global_step=10757, return_per_episode=166.0189208984375
global_step=10794, return_per_episode=97.05290222167969
global_step=10886, return_per_episode=309.1465759277344
global_step=10905, return_per_episode=51.82322692871094
global_step=10919, return_per_episode=36.51504135131836
global_step=10975, return_per_episode=152.26254272460938
global_step=11135, return_per_episode=497.1919250488281
global_step=11212, return_per_episode=232.84954833984375
global_step=11245, return_per_episode=50.6121940612793
global_step=11296, return_per_episode=159.4379425048828
global_step=11305, return_per_episode=23.78278923034668
global_step=11377, return_per_episode=253.79278564453125
global_step=11532, return_per_episode=437.5527648925781
global_step=11608, return_per_episode=262.1160888671875
global_step=11648, return_per_episode=92.64202117919922
global_step=11765, return_per_episode=327.5301818847656
global_step=11785, return_per_episode=39.402984619140625
global_step=11837, return_per_episode=180.19500732421875
global_step=11881, return_per_episode=100.1629867553711
global_step=11992, return_per_episode=370.1786804199219
global_step=12105, return_per_episode=397.7502746582031
global_step=12188, return_per_episode=248.3821563720703
Time Taken: 317
global_step=12337, return_per_episode=425.7080383300781
global_step=12350, return_per_episode=47.79695510864258
global_step=12387, return_per_episode=104.41449737548828
global_step=12408, return_per_episode=61.179569244384766
global_step=12492, return_per_episode=321.6867980957031
global_step=12542, return_per_episode=143.02345275878906
global_step=12639, return_per_episode=254.08551025390625
global_step=12717, return_per_episode=262.5442199707031
global_step=12750, return_per_episode=100.51300811767578
global_step=12879, return_per_episode=239.19805908203125
global_step=12886, return_per_episode=19.90850257873535
global_step=13089, return_per_episode=671.359619140625
global_step=13230, return_per_episode=440.3717041015625
global_step=13449, return_per_episode=583.1663818359375
global_step=13554, return_per_episode=406.01324462890625
global_step=13625, return_per_episode=249.6599884033203
global_step=13750, return_per_episode=340.38494873046875
global_step=13826, return_per_episode=182.9879913330078
global_step=13868, return_per_episode=104.21302795410156
global_step=13901, return_per_episode=122.60722351074219
global_step=13908, return_per_episode=21.929706573486328
global_step=14013, return_per_episode=308.1024169921875
global_step=14154, return_per_episode=481.52130126953125
global_step=14170, return_per_episode=49.13569641113281
global_step=14194, return_per_episode=35.10197448730469
global_step=14221, return_per_episode=63.81200408935547
global_step=14267, return_per_episode=155.26976013183594
global_step=14331, return_per_episode=160.6070098876953
Time Taken: 297
global_step=14479, return_per_episode=528.3671264648438
global_step=14538, return_per_episode=109.01380920410156
global_step=14653, return_per_episode=364.182861328125
global_step=14727, return_per_episode=323.8561096191406
global_step=14803, return_per_episode=265.4004211425781
global_step=14832, return_per_episode=52.012210845947266
global_step=14896, return_per_episode=180.81019592285156
global_step=14904, return_per_episode=27.80304527282715
global_step=14947, return_per_episode=91.46492004394531
global_step=15025, return_per_episode=236.40206909179688
global_step=15086, return_per_episode=138.94686889648438
global_step=15141, return_per_episode=175.03311157226562
global_step=15201, return_per_episode=262.73065185546875
global_step=15309, return_per_episode=233.86251831054688
global_step=15412, return_per_episode=323.08428955078125
global_step=15431, return_per_episode=51.04067611694336
global_step=15508, return_per_episode=284.4704284667969
global_step=15528, return_per_episode=67.20315551757812
global_step=15624, return_per_episode=308.694091796875
global_step=15666, return_per_episode=123.0703125
global_step=15673, return_per_episode=22.367935180664062
global_step=15705, return_per_episode=87.38382720947266
global_step=15713, return_per_episode=30.07888412475586
global_step=15807, return_per_episode=317.224365234375
global_step=15945, return_per_episode=367.6582336425781
global_step=15989, return_per_episode=140.2628631591797
global_step=16044, return_per_episode=189.89505004882812
global_step=16082, return_per_episode=113.51611328125
global_step=16187, return_per_episode=293.8594055175781
global_step=16203, return_per_episode=42.91017150878906
global_step=16232, return_per_episode=87.64421844482422
global_step=16281, return_per_episode=131.35121154785156
global_step=16362, return_per_episode=274.41229248046875
Time Taken: 306
global_step=16417, return_per_episode=202.12855529785156
global_step=16424, return_per_episode=23.9217529296875
global_step=16450, return_per_episode=101.63982391357422
global_step=16553, return_per_episode=302.68316650390625
global_step=16614, return_per_episode=182.53311157226562
global_step=16622, return_per_episode=19.12601661682129
global_step=16650, return_per_episode=51.14855194091797
global_step=16697, return_per_episode=151.19876098632812
global_step=16728, return_per_episode=77.50226593017578
global_step=16759, return_per_episode=102.64298248291016
global_step=16843, return_per_episode=215.76272583007812
global_step=16932, return_per_episode=263.15008544921875
global_step=16969, return_per_episode=81.99102020263672
global_step=16979, return_per_episode=30.315200805664062
global_step=17090, return_per_episode=335.1314392089844
global_step=17111, return_per_episode=39.68269348144531
global_step=17179, return_per_episode=202.44976806640625
global_step=17252, return_per_episode=215.897216796875
global_step=17292, return_per_episode=137.37188720703125
global_step=17301, return_per_episode=26.282209396362305
global_step=17400, return_per_episode=303.8323974609375
global_step=17492, return_per_episode=236.81993103027344
global_step=17540, return_per_episode=173.2366180419922
global_step=17625, return_per_episode=184.6258087158203
global_step=17745, return_per_episode=320.2619934082031
global_step=17829, return_per_episode=298.135986328125
global_step=17841, return_per_episode=43.857582092285156
global_step=17929, return_per_episode=269.8646240234375
global_step=17981, return_per_episode=138.74703979492188
global_step=18009, return_per_episode=72.2043685913086
global_step=18042, return_per_episode=79.26429748535156
global_step=18092, return_per_episode=160.25328063964844
global_step=18111, return_per_episode=62.538063049316406
global_step=18155, return_per_episode=106.63550567626953
global_step=18217, return_per_episode=233.2227783203125
global_step=18287, return_per_episode=222.60496520996094
global_step=18325, return_per_episode=155.5345916748047
global_step=18381, return_per_episode=176.84066772460938
Time Taken: 315
global_step=18460, return_per_episode=191.71083068847656
global_step=18467, return_per_episode=20.47231674194336
global_step=18538, return_per_episode=208.1656036376953
global_step=18594, return_per_episode=170.1536407470703
global_step=18741, return_per_episode=465.4783020019531
global_step=18819, return_per_episode=248.14474487304688
global_step=18884, return_per_episode=205.0998077392578
global_step=18949, return_per_episode=200.2084197998047
global_step=19120, return_per_episode=508.6561279296875
global_step=19280, return_per_episode=533.84521484375
global_step=19402, return_per_episode=418.2085876464844
global_step=19517, return_per_episode=453.119140625
global_step=19571, return_per_episode=131.62319946289062
global_step=19616, return_per_episode=123.30992126464844
global_step=19624, return_per_episode=23.23813819885254
global_step=19727, return_per_episode=221.7306365966797
global_step=19841, return_per_episode=306.7939758300781
global_step=19901, return_per_episode=200.7606201171875
global_step=19934, return_per_episode=92.98387908935547
global_step=20073, return_per_episode=391.7614440917969
global_step=20111, return_per_episode=127.9576187133789
global_step=20166, return_per_episode=193.7095947265625
global_step=20282, return_per_episode=390.2172546386719
global_step=20318, return_per_episode=104.33519744873047
global_step=20413, return_per_episode=275.840087890625
global_step=20470, return_per_episode=189.8644561767578
Time Taken: 323
global_step=20610, return_per_episode=377.3651123046875
global_step=20616, return_per_episode=14.51136302947998
global_step=20886, return_per_episode=720.557861328125
global_step=21066, return_per_episode=661.9638671875
global_step=21166, return_per_episode=318.4004211425781
global_step=21228, return_per_episode=190.24417114257812
global_step=21278, return_per_episode=181.18565368652344
global_step=21655, return_per_episode=1071.6741943359375
global_step=21728, return_per_episode=210.5201416015625
global_step=21872, return_per_episode=430.9986267089844
global_step=21905, return_per_episode=100.9581069946289
global_step=22005, return_per_episode=297.5075378417969
global_step=22122, return_per_episode=367.37841796875
global_step=22156, return_per_episode=107.95203399658203
global_step=22193, return_per_episode=109.36115264892578
global_step=22426, return_per_episode=705.2051391601562
global_step=22479, return_per_episode=160.48138427734375
Time Taken: 325
global_step=22598, return_per_episode=470.3506164550781
global_step=22740, return_per_episode=333.9366149902344
global_step=22807, return_per_episode=150.6165008544922
global_step=22888, return_per_episode=226.1277313232422
global_step=23115, return_per_episode=725.4684448242188
global_step=23200, return_per_episode=294.4916076660156
global_step=23250, return_per_episode=179.02574157714844
global_step=23364, return_per_episode=367.5849304199219
global_step=23422, return_per_episode=146.50546264648438
global_step=23458, return_per_episode=143.17196655273438
global_step=23496, return_per_episode=144.50588989257812
global_step=23560, return_per_episode=174.95359802246094
global_step=23624, return_per_episode=174.14755249023438
global_step=23669, return_per_episode=105.7066650390625
global_step=23719, return_per_episode=108.48055267333984
global_step=23754, return_per_episode=89.73397064208984
global_step=23802, return_per_episode=146.5034942626953
global_step=23833, return_per_episode=107.68882751464844
global_step=23949, return_per_episode=354.3779602050781
global_step=23987, return_per_episode=116.154541015625
global_step=24070, return_per_episode=240.47303771972656
global_step=24116, return_per_episode=127.20919036865234
global_step=24126, return_per_episode=38.28093719482422
global_step=24141, return_per_episode=33.616336822509766
global_step=24248, return_per_episode=296.8539123535156
global_step=24271, return_per_episode=74.99987030029297
global_step=24310, return_per_episode=83.26030731201172
global_step=24379, return_per_episode=251.3973846435547
global_step=24523, return_per_episode=449.08154296875
global_step=24529, return_per_episode=16.495512008666992
global_step=24569, return_per_episode=134.58474731445312
Time Taken: 330
global_step=24624, return_per_episode=138.1959686279297
global_step=24633, return_per_episode=29.302457809448242
global_step=24659, return_per_episode=62.54041290283203
global_step=24755, return_per_episode=303.62750244140625
global_step=24808, return_per_episode=206.02047729492188
global_step=24816, return_per_episode=20.429763793945312
global_step=24893, return_per_episode=243.85801696777344
global_step=24965, return_per_episode=200.1577606201172
global_step=25002, return_per_episode=57.71865463256836
global_step=25081, return_per_episode=211.4813995361328
global_step=25138, return_per_episode=187.90550231933594
global_step=25279, return_per_episode=472.12042236328125
global_step=25325, return_per_episode=122.18047332763672
global_step=25350, return_per_episode=78.1792221069336
global_step=25480, return_per_episode=413.609619140625
global_step=25510, return_per_episode=114.94383239746094
global_step=25556, return_per_episode=152.55142211914062
global_step=25567, return_per_episode=31.283092498779297
global_step=25614, return_per_episode=151.56459045410156
global_step=25626, return_per_episode=39.505638122558594
global_step=25774, return_per_episode=505.4374694824219
global_step=25825, return_per_episode=170.88906860351562
global_step=25885, return_per_episode=181.9692840576172
global_step=25932, return_per_episode=114.38497161865234
global_step=26021, return_per_episode=215.3696746826172
global_step=26170, return_per_episode=485.99456787109375
global_step=26246, return_per_episode=203.51112365722656
global_step=26252, return_per_episode=17.611865997314453
global_step=26298, return_per_episode=89.08406066894531
global_step=26442, return_per_episode=410.30279541015625
global_step=26595, return_per_episode=370.9327087402344
Time Taken: 334
global_step=26766, return_per_episode=494.4975280761719
global_step=26959, return_per_episode=598.8480834960938
global_step=26986, return_per_episode=65.66471862792969
global_step=27141, return_per_episode=614.5997924804688
global_step=27222, return_per_episode=237.31484985351562
global_step=27266, return_per_episode=137.54238891601562
global_step=27356, return_per_episode=240.53277587890625
global_step=27409, return_per_episode=167.3189239501953
global_step=27594, return_per_episode=552.2786254882812
global_step=27641, return_per_episode=146.8820037841797
global_step=27708, return_per_episode=148.35179138183594
global_step=27742, return_per_episode=79.98576354980469
global_step=27791, return_per_episode=108.76071166992188
global_step=27893, return_per_episode=278.8880920410156
global_step=27938, return_per_episode=72.79209899902344
global_step=27975, return_per_episode=109.4701919555664
global_step=28022, return_per_episode=170.172119140625
global_step=28203, return_per_episode=659.8232421875
global_step=28381, return_per_episode=436.19598388671875
global_step=28439, return_per_episode=203.3984375
global_step=28556, return_per_episode=383.9989929199219
global_step=28635, return_per_episode=246.02444458007812
Time Taken: 338
global_step=28776, return_per_episode=410.91119384765625
global_step=28954, return_per_episode=561.3812866210938
global_step=28997, return_per_episode=132.13671875
global_step=29224, return_per_episode=720.4354858398438
global_step=29275, return_per_episode=155.828857421875
global_step=29381, return_per_episode=223.2946319580078
global_step=29530, return_per_episode=544.4797973632812
global_step=29607, return_per_episode=192.9483184814453
global_step=29759, return_per_episode=404.3654479980469
global_step=29808, return_per_episode=122.0934066772461
global_step=29998, return_per_episode=500.49627685546875
global_step=30133, return_per_episode=430.8475341796875
global_step=30243, return_per_episode=256.0836486816406
global_step=30290, return_per_episode=148.37835693359375
global_step=30345, return_per_episode=154.93826293945312
global_step=30409, return_per_episode=203.97601318359375
global_step=30447, return_per_episode=116.16262817382812
global_step=30511, return_per_episode=175.22361755371094
Time Taken: 342
global_step=30816, return_per_episode=852.548583984375
global_step=30953, return_per_episode=410.7215881347656
global_step=31028, return_per_episode=231.75018310546875
global_step=31111, return_per_episode=371.07745361328125
global_step=31146, return_per_episode=85.96062469482422
global_step=31248, return_per_episode=351.5024719238281
global_step=31304, return_per_episode=195.8936004638672
global_step=31368, return_per_episode=143.4791259765625
global_step=31437, return_per_episode=190.51199340820312
global_step=31478, return_per_episode=103.0257339477539
global_step=31547, return_per_episode=209.79397583007812
global_step=31555, return_per_episode=22.160457611083984
global_step=31662, return_per_episode=337.1128234863281
global_step=31731, return_per_episode=183.88327026367188
global_step=31819, return_per_episode=239.13914489746094
global_step=31864, return_per_episode=154.15235900878906
global_step=31925, return_per_episode=164.8339385986328
global_step=32023, return_per_episode=296.8995361328125
global_step=32127, return_per_episode=343.8354187011719
global_step=32157, return_per_episode=90.1955795288086
global_step=32229, return_per_episode=263.5838317871094
global_step=32272, return_per_episode=122.60394287109375
global_step=32407, return_per_episode=375.9372253417969
